Country,Pop_Class,Food,Mean,Z,Mean_norm
Austria,Adults,banana,37.134740259740205,5180.902218300532,0.0071676203670798765
Austria,Adults,almond,0.344155844155844,5180.902218300532,6.642778219982231e-05
Austria,Adults,apple,90.8060064935065,5180.902218300532,0.017527064335001712
Austria,Adults,apricot,1.20941558441558,5180.902218300532,0.0002334372534852239
Austria,Adults,artichokes,0.659090909090909,5180.902218300532,0.0001272154696845654
Austria,Adults,asparagus,0.6915584415584419,5180.902218300532,0.0001334822415902091
Austria,Adults,avocado,0.618912337662338,5180.902218300532,0.00011946033945133152
Austria,Adults,barley,0.18181818181818202,5180.902218300532,3.509392267160429e-05
Austria,Adults,beef,7.8262987012987,5180.902218300532,0.0015106053678553939
Austria,Adults,pepper,10.405194805194801,5180.902218300532,0.0020083750603206657
Austria,Adults,blueberries,0.7759740259740259,5180.902218300532,0.00014977584854488244
Austria,Adults,broccoli,1.8904220779220802,5180.902218300532,0.00036488279420610005
Austria,Adults,chicken,36.5098214285714,5180.902218300532,0.007047000674826006
Austria,Adults,butter,7.92654220779221,5180.902218300532,0.001529954026114069
Austria,Adults,cabbage,6.662337662337659,5180.902218300532,0.0012859415950380697
Austria,Adults,carrot,7.51136363636364,5180.902218300532,0.0014498176803706517
Austria,Adults,cauliflower,1.49675324675325,5180.902218300532,0.0002888981848501714
Austria,Adults,celery,0.456168831168831,5180.902218300532,8.80481452742928e-05
Austria,Adults,cheese,35.6214285714286,5180.902218300532,0.006875526128557844
Austria,Adults,cocoa,2.7587662337662295,5180.902218300532,0.0005324876088225373
Austria,Adults,corn,2.05844155844156,5180.902218300532,0.0003973133388178056
Austria,Adults,cranberries,0.20941558441558397,5180.902218300532,4.0420678791401244e-05
Austria,Adults,cucumber,7.09577922077922,5180.902218300532,0.0013696029999784125
Austria,Adults,beans,6.56818181818182,5180.902218300532,0.0012677679565117042
Austria,Adults,eggplant,0.8051948051948051,5180.902218300532,0.0001554159432599617
Austria,Adults,egg,10.824675324675301,5180.902218300532,0.0020893417533415773
Austria,Adults,figs,0.0845779220779221,5180.902218300532,1.6324940814201628e-05
Austria,Adults,fish,15.6727272727273,5180.902218300532,0.0030250961342922923
Austria,Adults,garlic,0.0600649350649351,5180.902218300532,1.1593528025440699e-05
Austria,Adults,grapefruit,1.5551948051948101,5180.902218300532,0.0003001783742803302
Austria,Adults,hazelnuts,0.243506493506493,5180.902218300532,4.700078929232703e-05
Austria,Adults,honey,1.44074675324675,5180.902218300532,0.0002780880033129349
Austria,Adults,kiwi,4.87012987012987,5180.902218300532,0.0009400157858465426
Austria,Adults,lamb,0.7727272727272729,5180.902218300532,0.00014914917135431814
Austria,Adults,lettuce,0.9967532467532471,5180.902218300532,0.0001923898975032591
Austria,Adults,milk,113.478571428571,5180.902218300532,0.02190324515829115
Austria,Adults,olive oil,0.402516233766234,5180.902218300532,7.76923047002168e-05
Austria,Adults,olives,0.42857142857142894,5180.902218300532,8.272138915449581e-05
Austria,Adults,onion,1.73214285714286,5180.902218300532,0.00033433228116608755
Austria,Adults,orange,42.882305194805205,5180.902218300532,0.008276995663676451
Austria,Adults,papaya,0.24350649350649398,5180.902218300532,4.700078929232722e-05
Austria,Adults,peach,6.83928571428571,5180.902218300532,0.0013200955019238272
Austria,Adults,pear,7.59253246753247,5180.902218300532,0.0014654846101347604
Austria,Adults,pineapple,2.4301948051948,5180.902218300532,0.0004690678771374237
Austria,Adults,pistachio,0.103084415584416,5180.902218300532,1.9897000800418565e-05
Austria,Adults,plum,6.76948051948052,5180.902218300532,0.0013066219423266943
Austria,Adults,pork,41.7724025974026,5180.902218300532,0.008062766066082023
Austria,Adults,potato,49.90178571428571,5180.902218300532,0.009631871749676597
Austria,Adults,raspberries,0.46428571428571397,5180.902218300532,8.961483825070367e-05
Austria,Adults,sugar,1.73295454545455,5180.902218300532,0.00033448895046372896
Austria,Adults,coffee,229.006493506493,5180.902218300532,0.04420204895926659
Austria,Adults,peas,1.01136363636364,5180.902218300532,0.0001952099448607994
Austria,Adults,spinach,1.6038961038961002,5180.902218300532,0.000309578532138794
Austria,Adults,strawberries,1.1038961038961002,5180.902218300532,0.00021307024479188226
Austria,Adults,sweet corn,1.27597402597403,5180.902218300532,0.00024628413589179493
Austria,Adults,grape,11.756493506493499,5180.902218300532,0.002269198107033552
Austria,Adults,tomato,19.5612012987013,5180.902218300532,0.003775636071571695
Austria,Adults,turkey,9.13961038961038,5180.902218300532,0.0017640962914386765
Austria,Adults,walnuts,0.499188311688312,5180.902218300532,9.635161804927068e-05
Austria,Adults,watermelon,0.8636363636363641,5180.902218300532,0.00016669613269012032
Austria,Adults,wheat,247.385227272727,5180.902218300532,0.047749449198034796
Austria,Adults,rice,25.3142857142857,5180.902218300532,0.004886076719392213
Austria,Elderly,banana,24.9067164179105,5180.902218300532,0.004807409089855499
Austria,Elderly,almond,0.14925373134328399,5180.902218300532,2.8808443984152827e-05
Austria,Elderly,apple,74.0410447761194,5180.902218300532,0.014291148849438575
Austria,Elderly,beef,6.49253731343284,5180.902218300532,0.0012531673133106453
Austria,Elderly,pepper,7.42574626865672,5180.902218300532,0.0014332921093215603
Austria,Elderly,blueberries,0.298507462686567,5180.902218300532,5.761688796830547e-05
Austria,Elderly,broccoli,9.41791044776119,5180.902218300532,0.0018178128154000377
Austria,Elderly,chicken,42.8805970149254,5180.902218300532,0.00827666595664709
Austria,Elderly,butter,10.634328358209,5180.902218300532,0.002052601633870892
Austria,Elderly,cabbage,9.82835820895522,5180.902218300532,0.001897036036356458
